date,time,temperature,dewpoint,humidity,wind_speed,wind_dir_degrees,pressure
1/4/10,8:54:00,-8,-11,86,24.1,280,1022.2
1/4/10,9:52:00,-8,-12,79,16.7,280,1022.2
1/4/10,10:52:00,-9,-12,79,16.7,290,1022.2
1/4/10,11:54:00,-11,-11,79,16.7,280,1021.9
1/4/10,13:50:00,-11,-11,79,18.5,280,1020.5
1/4/10,16:51:00,-10,-12,79,27.8,270,1020.9
1/5/10,8:50:00,-9,-13,85,18.5,260,1020.9
1/5/10,9:52:00,-8,-13,85,18.5,260,1020.9
1/5/10,12:51:00,-9,-13,79,24.1,270,1020.5
1/5/10,13:52:00,-10,-12,79,14.8,260,1020.2
1/5/10,15:52:00,-1,-11,79,18.5,270,1020.5
1/5/10,16:50:00,-7,-11,86,18.5,270,1020.9
1/6/10,8:50:00,-7,-12,86,18.5,260,1022.6
1/6/10,13:52:00,-7,-10,51,11.1,250,1021.2
1/6/10,16:51:00,-5,-11,74,9.3,240,1020.9
1/7/10,9:51:00,-6,-8,93,13,140,1014.4
1/7/10,10:52:00,-8,-8,93,13,140,1013.8
1/7/10,13:52:00,-11,-7,86,13,180,1010.4
1/7/10,15:52:00,-9,-8,86,13,260,1010.7
1/7/10,16:55:00,-6,-11,79,37,230,1011.7
1/8/10,8:52:00,-6,-12,92,13,240,1018.8
1/8/10,9:52:00,-5,-12,79,9.3,270,1019.5
1/8/10,12:52:00,-6,-8,86,20.4,290,1020.9
1/8/10,13:52:00,-7,-8,86,11.1,300,1020.9
1/8/10,15:52:00,-5,-8,80,18.5,290,1021.9
1/8/10,16:52:00,-4,-9,80,11.1,300,1022.9
1/11/10,8:51:00,-5,-10,80,9.3,210,1018.5
1/11/10,10:51:00,-6,-9,74,11.1,250,1019.2
1/11/10,11:50:00,-7,-9,69,18.5,250,1018.8
1/11/10,13:52:00,-10,-8,80,18.5,290,1018.5
1/11/10,15:52:00,-9,-9,80,18.5,300,1019.9
1/11/10,16:52:00,-4,-9,86,18.5,290,1021.2
1/12/10,8:52:00,-3,-12,86,0,0,1029
1/12/10,9:52:00,-3,-10,93,0,0,1164.8
1/12/10,11:52:00,-3,-8,74,0,0,1029.3
1/12/10,12:52:00,-4,-7,74,7.4,320,1029.7
